horizon,n_rows,n_markets,positive_rate,mean_abs_midprice_change,median_abs_midprice_change,p90_abs_midprice_change,share_small_move_lt_threshold,mean_spread,share_negative_spread,share_zero_spread
1min,28079,18,0.031340147441148186,0.0037909113572420676,0.0,0.010000000000000009,0.936180063392571,0.011865451048826522,0.0,0.0
1min30s,28063,18,0.037522716744467804,0.004817731532623026,0.0,0.010000000000000009,0.9245625913124043,0.011865445604532655,0.0,0.0
2min,28042,18,0.043113900577704874,0.005726588688395979,0.0,0.010000000000000009,0.9137721988445903,0.011866129377362526,0.0,0.0
2min30s,28027,18,0.046597923430977274,0.006530488457558783,0.0,0.015000000000000013,0.9065187140971206,0.01186641452884718,0.0,0.0
3min,28009,18,0.05023385340426292,0.007285872398157736,0.0,0.020000000000000004,0.8992823735227963,0.01186511478453354,0.0,0.0
3min30s,27992,18,0.053622463561017436,0.007993533866819091,0.0,0.020000000000000018,0.8927550728779652,0.011865533009431266,0.0,0.0
4min,27976,18,0.056762939662567916,0.008656348298541606,0.0,0.024999999999999994,0.8867600800686303,0.011865170145839288,0.0,0.0
4min30s,27958,18,0.05808713069604406,0.009224372272694755,0.0,0.025000000000000022,0.8832892195436011,0.011864224908791757,0.0,0.0
5min,27940,18,0.05962777380100215,0.009762884753042234,0.0,0.029999999999999943,0.8803149606299212,0.011863994273443089,0.0,0.0
5min30s,27922,18,0.06117040326624167,0.010272186806102715,0.0,0.030000000000000027,0.8772652388797364,0.011863405200200555,0.0,0.0
6min,27904,18,0.06296588302752294,0.010705812786697248,0.0,0.030000000000000027,0.8740682339449541,0.011861740252293574,0.0,0.0
6min30s,27886,18,0.0635085706089077,0.011138384852614217,0.0,0.030000000000000027,0.8724090941691172,0.011862941978053501,0.0,0.0
7min,27868,18,0.0642313764891632,0.011562006602554901,0.0,0.030000000000000027,0.8711066456150424,0.011862351083680204,0.0,0.0
7min30s,27850,18,0.06517055655296229,0.01195942549371634,0.0,0.03500000000000002,0.8696947935368043,0.011862477558348291,0.0,0.0
8min,27832,18,0.06463782696177062,0.012340651049152057,0.0,0.03500000000000003,0.8697542397240586,0.01186368209255533,0.0,0.0
8min30s,27814,18,0.06536276695189473,0.012715359171640182,0.0,0.039999999999999925,0.8680161069964766,0.011862011936434885,0.0,0.0
9min,27796,18,0.06637645704417902,0.013079040149661823,0.0,0.040000000000000036,0.8662037703266657,0.011862857965174842,0.0,0.0
9min30s,27778,18,0.06746346029231766,0.013470192238462091,0.0,0.040000000000000036,0.8643890848873209,0.011860465116279067,0.0,0.0
10min,27760,18,0.06909221902017292,0.013878782420749278,0.0,0.040000000000000036,0.8604106628242075,0.011860590778097979,0.0,0.0
