horizon,feature_set,n_features,pr_auc_test,roc_auc_test,best_decision_threshold_by_val_f1,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold
10min,local_depth+total_depth+imbalance,12,0.3256665510469609,0.8861897377655469,0.8,0.3819188191881918,0.4975961538461538,0.4321503131524008
10min,local_depth+total_depth,9,0.3234089884942834,0.8848460774035732,0.7,0.3670360110803324,0.6370192307692307,0.4657293497363796
10min,price+local_depth+total_depth+imbalance,18,0.3162983928399207,0.8853966459907686,0.8,0.3791946308724832,0.5432692307692307,0.4466403162055335
10min,price+local_depth+total_depth,15,0.3134322248580529,0.8831242992763435,0.8,0.3902439024390244,0.5384615384615384,0.4525252525252525
7min30s,local_depth+total_depth+imbalance,12,0.3110210483790509,0.8952838687371869,0.8,0.34375,0.4857142857142857,0.4025834230355221
7min30s,local_depth+total_depth,9,0.3099653066649011,0.8946751785896894,0.7,0.3592233009708738,0.6727272727272727,0.4683544303797468
7min,local_depth+total_depth+imbalance,12,0.3096099145444163,0.8994517561183701,0.8,0.3436363636363636,0.4986807387862796,0.4068891280947255
8min30s,local_depth+total_depth+imbalance,12,0.3092335507210882,0.890661936821401,0.8,0.3526119402985074,0.4858611825192802,0.4086486486486486
8min30s,local_depth+total_depth,9,0.3085769992572238,0.8899354573198122,0.7,0.3548387096774194,0.6503856041131105,0.4591651542649728
9min30s,local_depth+total_depth,9,0.3081667542252121,0.8821969520745965,0.7,0.356145251396648,0.6423173803526449,0.4582210242587601
